external_id,business_name,tagline,description,website,phone,email,address,city,state_code,zip_code,county_name,county_fips,trade_categories,source_url,source_checked_at,official_source_kind,corridor_market,target_segments,jw_stone_fit,bidrock_fit,acquisition_priority
"official_web:alphastonecabinetry.com:hammond","Alpha Stone & Cabinetry","Countertops and renovation services in Hammond","Hammond showroom offering countertops, cabinets, custom showers, tile installation and kitchen and bathroom renovation services.","https://alphastonecabinetry.com/","9855422212","alphastoneandcabinetry@gmail.com","13087 Highway 190 W","Hammond","LA","70401","Tangipahoa Parish","22105","countertop supplier;countertop installer;tile installer;kitchen remodeling;bathroom remodeling","https://alphastonecabinetry.com/","2026-08-22","business_website","northshore","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:gnlgranitedesign.com:slidell","GNL Stone Design","Stone countertops across Louisiana, Mississippi and Alabama","Slidell showroom and fabrication business providing granite, quartz, marble and dolomite countertops with installation across the central Gulf Coast.","https://www.gnlgranitedesign.com/","9857181158","gnl@gnlgranitedesign.com","195 Commercial Square","Slidell","LA","70461","St. Tammany Parish","22103","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.gnlgranitedesign.com/contact","2026-08-22","business_website","northshore","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:nolastone.com:kenner","Stone Interiors New Orleans","Stone fabrication and installation in Kenner","Kenner stone showroom and fabrication operation working with granite, marble, quartzite and quartz for custom countertop projects.","https://www.nolastone.com/","5046204048","sales@nolastone.com","99 East Airline Hwy","Kenner","LA","70062","Jefferson Parish","22051","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.nolastone.com/contact/","2026-08-22","business_website","new_orleans","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:jerusalemstonenola.com:metairie","Jerusalem Stone","Custom stone countertops in Metairie","Metairie stone fabricator and installer serving kitchen, bathroom and other custom countertop projects with natural and engineered materials.","https://jerusalemstonenola.com/","5042670080","contact@jerusalemstonenola.com","2813 Richland Ave","Metairie","LA","70002","Jefferson Parish","22051","stone fabricator;countertop installer;natural stone supplier;granite countertops;marble countertops","https://jerusalemstonenola.com/contact-us/","2026-08-22","business_website","new_orleans","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:stonegalleryno.com:harahan","The Stone Gallery","Stone, cabinets and tile supplier in Harahan","Harahan showroom supplying granite, marble, quartzite, engineered quartz, cabinets, tile and stone-care products.","https://stonegalleryno.com/","5047335566","","5600 Mounes St","Harahan","LA","70123","Jefferson Parish","22051","natural stone supplier;stone slab distributor;quartz supplier;tile supplier","https://stonegalleryno.com/","2026-08-22","business_website","new_orleans","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:tuscanstoneimports.com:new-orleans","Tuscan Stone Imports","Imported stone supplier in New Orleans","New Orleans importer and distributor of granite, quartzite, marble and engineered quartz serving fabricators, contractors and designers across Louisiana, Mississippi and Alabama.","https://tuscanstoneimports.com/","5048371511","sales@tuscanstoneimports.com","720 S Galvez St","New Orleans","LA","70119","Orleans Parish","22071","stone importer;natural stone supplier;stone slab distributor;quartz supplier","https://tuscanstoneimports.com/locations","2026-08-22","business_website","new_orleans","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:tritonstone.com:new-orleans","Triton Stone Group — New Orleans","Slab, tile and fabricator supply in Harahan","Harahan slab and tile gallery, fabricator supply center and regional distribution location for stone, sinks, tile and tools.","https://tritonstone.com/locations/new-orleans-la/","5047382228","hello@tritonstone.com","6141 River Rd","Harahan","LA","70123","Jefferson Parish","22051","natural stone supplier;stone slab distributor;tile supplier;fabricator supply","https://tritonstone.com/locations/new-orleans-la/","2026-08-22","business_website","new_orleans","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:selectstonellc.com:harahan","Select Stone South — Harahan","Natural and engineered stone supplier in Harahan","Harahan supplier of marble, granite, quartz, quartzite, sinks and stone-care products.","https://www.selectstonellc.com/locations/","5042160110","info.south@selectstonellc.com","733 Distributors Row","Harahan","LA","70123","Jefferson Parish","22051","natural stone supplier;stone slab distributor;quartz supplier","https://www.selectstonellc.com/locations/","2026-08-22","business_website","new_orleans","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:stoneworksofms.com:purvis","Stoneworks of Mississippi","Custom countertop fabrication in Purvis","Purvis showroom and shop fabricating and installing granite, marble, quartzite, quartz and cultured-marble surfaces across a broad South Mississippi service area.","https://stoneworksofms.com/","6017940093","","62 Central Industrial Row","Purvis","MS","39475","Lamar County","28073","stone fabricator;countertop installer;natural stone supplier;cultured marble fabricator","https://stoneworksofms.com/","2026-08-22","business_website","mississippi_gulf_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:topstofloorsms.com:gulfport","Tops to Floors","Countertop sales and installation in Gulfport","Gulfport showroom selling and installing marble, granite, quartz and quartzite countertops along with cabinets and flooring.","https://topstofloorsms.com/","2286090389","topstofloorsllc@gmail.com","11370 Hwy 49 Ste D","Gulfport","MS","39503","Harrison County","28047","countertop supplier;countertop installer;granite countertops;quartz countertops;cabinet supplier","https://topstofloorsms.com/","2026-08-22","business_website","mississippi_gulf_coast","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:lighthousemarble.com:biloxi","Lighthouse Marble","Cultured-marble products in Biloxi","Biloxi showroom providing cultured-marble products, shower applications and related custom glass solutions by appointment.","https://www.lighthousemarble.com/","2283923038","","8212 Woolmarket Rd","Biloxi","MS","39532","Harrison County","28047","cultured marble fabricator;cultured marble installer;shower installer;custom glass installer","https://www.lighthousemarble.com/contact-us/","2026-08-22","business_website","mississippi_gulf_coast","bidrock_fabricator;bidrock_installer","adjacent_trade_candidate","fabricator_installer","tier_2"
"official_web:legacygranitecountertops.com:loxley","Legacy Granite & Quartz of Mobile","Stone fabrication and installation for the Mobile market","Loxley showroom serving the Mobile area with sales, fabrication and installation of natural and engineered stone countertops.","https://www.legacygranitecountertops.com/","2514414991","info@legacygranitecountertops.com","34009 AL-59","Loxley","AL","36551","Baldwin County","01003","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.legacygranitecountertops.com/locations/","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:gmqtops.com:mobile","GMQ Tops — Mobile","Stone countertop fabrication in Mobile","Mobile showroom fabricating and installing granite, quartz, marble and quartzite countertops with in-person slab selection.","https://gmqtops.com/mobile/","2517250067","info@gmqtops.com","1854 B East Interstate 65 Service Rd N","Mobile","AL","36617","Mobile County","01097","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://gmqtops.com/mobile/","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:stoneinteriors.com:loxley","Stone Interiors Alabama","Stone fabrication and installation in Loxley","Loxley showroom and fabrication operation serving Alabama, Mississippi and Florida with custom granite, marble, quartzite and quartz surfaces.","https://stoneinteriors.com/alabama/","2519645070","","30281 County Rd 49","Loxley","AL","36551","Baldwin County","01003","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://stoneinteriors.com/alabama/","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:solidfoundationcountertops.com:foley","Solid Foundation Countertops","Custom countertops in Foley","Foley countertop company working with granite, quartz, marble and other surfaces for custom residential projects.","https://www.solidfoundationcountertops.com/","2512840343","solidfoundationcountertops@gmail.com","19445 County Road 12 S","Foley","AL","36535","Baldwin County","01003","stone fabricator;countertop installer;granite countertops;quartz countertops;marble countertops","https://www.solidfoundationcountertops.com/contact","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:americanfcg.com:mobile","American Flooring, Cabinets & Granite — Mobile","Countertops, fabrication and installation in Mobile","Mobile showroom supplying stone countertops, cabinets and flooring with stone fabrication, tear-out, installation and remodeling services.","https://americanfcg.com/","2513449773","","1050 W Interstate 65 Service Rd S","Mobile","AL","36609","Mobile County","01097","stone fabricator;countertop installer;countertop supplier;cabinet supplier;flooring supplier","https://americanfcg.com/countertop-store-in-mobile-al","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:americanfcg.com:foley","American Flooring, Cabinets & Granite — Foley","Countertops and installation in Foley","Foley showroom supplying granite, quartz and other countertops along with cabinets and flooring, with installation and remodeling services.","https://americanfcg.com/foley-al","2519671700","","2831 S McKenzie St","Foley","AL","36535","Baldwin County","01003","countertop supplier;countertop installer;stone fabricator;cabinet supplier;flooring supplier","https://americanfcg.com/foley-al","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:tritonstone.com:mobile-loxley","Triton Stone Group — Mobile","Slab and tile gallery in Loxley","Loxley slab and tile gallery supplying stone, sinks, tile and tools for the Mobile and Baldwin County markets.","https://tritonstone.com/locations/mobile-al/","2513456450","hello@tritonstone.com","33923 Highway 59","Loxley","AL","36551","Baldwin County","01003","natural stone supplier;stone slab distributor;tile supplier;fabricator supply","https://tritonstone.com/locations/mobile-al/","2026-08-22","business_website","mobile_baldwin","jw_stone_supply_partner;bidrock_supplier","supply_partner_candidate","supplier","tier_2"
"official_web:hardrockstoneandtile.com:semmes","Hard Rock Stone Tile & Flooring — Semmes","Countertops, tile and flooring in Semmes","Semmes showroom offering custom stone and quartz countertops, tile and flooring with measurement and installation services.","https://www.hardrockstoneandtile.com/","2516453439","","8255 Wards Ln","Semmes","AL","36575","Mobile County","01097","countertop supplier;countertop installer;tile installer;flooring installer","https://www.hardrockstoneandtile.com/contact","2026-08-22","business_website","mobile_baldwin","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:americanfcg.com:pensacola","American Flooring, Cabinets & Granite — Pensacola","Countertops and installation in Pensacola","Pensacola showroom supplying stone countertops, cabinets and flooring with fabrication, installation and remodeling services.","https://americanfcg.com/","8504848888","","5600 N Davis Hwy","Pensacola","FL","32503","Escambia County","12033","stone fabricator;countertop installer;countertop supplier;cabinet supplier;flooring supplier","https://americanfcg.com/about-american-flooring-cabinets-granite","2026-08-22","business_website","pensacola","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:legacygranitequartz.com:pensacola","Legacy Granite & Quartz — Pensacola","Stone fabrication and installation in Pensacola","Pensacola showroom providing sales, fabrication and installation of granite, marble, quartz and quartzite countertops.","https://www.legacygranitequartz.com/","8502992280","info@legacygranitequartz.com","9451 Pensacola Blvd","Pensacola","FL","32534","Escambia County","12033","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.legacygranitequartz.com/locations/","2026-08-22","business_website","pensacola","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:superiorgranite.com:pensacola","Superior Granite — Pensacola","Stone slabs, fabrication and installation in Pensacola","Pensacola showroom and remnant location offering stone selection, templating, custom fabrication, removal and countertop installation.","https://superiorgranite.com/","8509410270","","7011 Pine Forest Rd","Pensacola","FL","32526","Escambia County","12033","stone importer;stone fabricator;countertop installer;natural stone supplier;granite countertops","https://superiorgranite.com/contact/","2026-08-22","business_website","pensacola","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:sdfgranite.com:pensacola","Solid Design Fabricators","Stone fabrication in Pensacola","Pensacola fabrication shop producing granite, marble and quartz surfaces for custom countertop projects.","https://www.sdfgranite.com/","8504848401","info@sdfgranite.com","920 Industrial Ct","Pensacola","FL","32505","Escambia County","12033","stone fabricator;countertop installer;granite countertops;marble countertops;quartz countertops","https://www.sdfgranite.com/","2026-08-22","business_website","pensacola","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:booneskbp.com:pensacola","Boone's Kitchen Bath & Patio","Countertops and remodeling materials in Pensacola","Pensacola showroom with in-stock stone slabs, countertops, cabinets, flooring and full-service kitchen, bath and outdoor remodeling.","https://www.booneskbp.com/","8504663600","","5675 Duval St","Pensacola","FL","32503","Escambia County","12033","countertop supplier;countertop installer;natural stone supplier;kitchen remodeling;bathroom remodeling","https://www.booneskbp.com/showroom","2026-08-22","business_website","pensacola","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:superiorgranite.com:pace","Superior Granite — Pace","Stone countertop showroom in Pace","Pace showroom offering natural and engineered countertop materials with templating, fabrication and installation through Superior Granite.","https://superiorgranite.com/","8509941872","","4590 Jernigan Rd","Pace","FL","32571","Santa Rosa County","12113","stone importer;stone fabricator;countertop installer;natural stone supplier;granite countertops","https://superiorgranite.com/contact/","2026-08-22","business_website","pensacola","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:breezegranite.com:gulf-breeze","Breeze Granite","Stone fabrication and installation in Gulf Breeze","Gulf Breeze stone company specializing in fabrication and installation of granite, quartz and marble countertops.","https://breezegranite.com/","8502081697","info@breezegranite.com","3013 Westfield Rd","Gulf Breeze","FL","32563","Santa Rosa County","12113","stone fabricator;countertop installer;granite countertops;quartz countertops;marble countertops","https://breezegranite.com/contact/","2026-08-22","business_website","pensacola","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:classicdesignstone.com:gulf-breeze","Classic Design Stone — Gulf Breeze","Stone importing, fabrication and installation in Gulf Breeze","Gulf Breeze location of a Northwest Florida stone company importing, fabricating and installing quartz and natural-stone countertops.","https://classicdesignstone.com/","8509347070","","4621 Gulf Breeze Pkwy","Gulf Breeze","FL","32563","Santa Rosa County","12113","stone importer;stone fabricator;countertop installer;natural stone supplier;quartz supplier","https://classicdesignstone.com/locations/","2026-08-22","business_website","pensacola","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:superiorgranite.com:fort-walton-beach","Superior Granite — Fort Walton Beach","Stone countertops in Fort Walton Beach","Fort Walton Beach showroom offering stone selection, templating, fabrication, removal and countertop installation for residential and commercial projects.","https://superiorgranite.com/","8503010716","","35 Miracle Strip Pkwy SW","Fort Walton Beach","FL","32548","Okaloosa County","12091","stone importer;stone fabricator;countertop installer;natural stone supplier;granite countertops","https://superiorgranite.com/countertops-installation-services-fort-walton-beach-fl/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:stonexclusive.com:fort-walton-beach","Stone Exclusive","Stone countertops in Fort Walton Beach","Fort Walton Beach supplier, fabricator and installer of granite, marble, quartzite, quartz and other countertop surfaces.","https://www.stonexclusive.com/","8508627155","info@stonexclusive.com","240-B Eglin Pkwy NE","Fort Walton Beach","FL","32547","Okaloosa County","12091","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.stonexclusive.com/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:granitegalleryllc.com:fort-walton-beach","Granite Gallery LLC","Stone fabrication and countertop installation in Fort Walton Beach","Fort Walton Beach shop providing natural-stone fabrication, kitchen and bathroom countertop installation, restoration and repair.","https://www.granitegalleryllc.com/","8503743220","","626 Lovejoy Rd NW #2A-D","Fort Walton Beach","FL","32548","Okaloosa County","12091","stone fabricator;countertop installer;stone restoration;countertop repair","https://www.granitegalleryllc.com/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:classicdesignstone.com:destin","Classic Design Stone — Destin","Stone countertops and remodeling services in Destin","Destin-area location of a Northwest Florida stone company importing, fabricating and installing quartz and natural-stone countertops.","https://classicdesignstone.com/","8504243763","","11840 U.S. 98","Destin","FL","32550","Walton County","12131","stone importer;stone fabricator;countertop installer;natural stone supplier;quartz supplier","https://classicdesignstone.com/locations/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:stonenetworkonline.com:santa-rosa-beach","Stone Network","Custom stone countertops in Santa Rosa Beach","Santa Rosa Beach stone company providing granite, marble, soapstone, quartz and quartzite countertop projects from selection through installation.","https://stonenetworkonline.com/","8506225228","sales@stonenetworkonline.com","3422 US Hwy 98 Ste 1","Santa Rosa Beach","FL","32459","Walton County","12131","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartzite countertops","https://stonenetworkonline.com/contact/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:phoenixsurfacesllc.com:santa-rosa-beach","Phoenix Surfaces LLC","Custom natural-stone countertops in Santa Rosa Beach","Santa Rosa Beach showroom supplying granite, quartz, marble and quartzite countertops with residential and commercial installation services.","https://www.phoenixsurfacesllc.com/","8502798410","","457 Serenoa Rd Unit 7","Santa Rosa Beach","FL","32459","Walton County","12131","countertop supplier;countertop installer;natural stone supplier;granite countertops;quartz countertops","https://www.phoenixsurfacesllc.com/contact","2026-08-22","business_website","emerald_coast","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:cornerstone30a.net:santa-rosa-beach","Corner Stone Granite & Marble","Stone fabrication and installation in Santa Rosa Beach","Santa Rosa Beach seller, fabricator, designer, installer and distributor of granite, marble, quartz and other slab surfaces.","https://www.cornerstone30a.net/","8508551407","sducornerstone@aol.com","5161 Hwy 98 W","Santa Rosa Beach","FL","32459","Walton County","12131","stone fabricator;countertop installer;natural stone supplier;stone slab distributor;granite countertops","https://www.cornerstone30a.net/","2026-08-22","business_website","emerald_coast","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
"official_web:ssgraniteusa.com:santa-rosa-beach","S&S Granite & Tile Work","Granite, stone and tile work in Santa Rosa Beach","Santa Rosa Beach shop designing, fabricating and installing granite and marble countertops plus tile, backsplash and flooring projects.","https://www.ssgraniteusa.com/","8502670599","info@ssgraniteusa.com","21 Shannon Ln","Santa Rosa Beach","FL","32459","Walton County","12131","stone fabricator;countertop installer;tile installer;granite countertops;marble countertops","https://www.ssgraniteusa.com/contact-us","2026-08-22","business_website","emerald_coast","jw_stone_buyer;bidrock_fabricator;bidrock_installer","buyer_candidate","fabricator_installer","tier_1"
"official_web:hardrockstoneandtile.com:santa-rosa-beach","Hard Rock Stone Tile & Flooring — Santa Rosa Beach","Countertops, tile and flooring in Santa Rosa Beach","Santa Rosa Beach showroom offering custom stone and quartz countertops, tile and flooring with measurement and installation services.","https://www.hardrockstoneandtile.com/","8504600029","","316 S Co Hwy 83","Santa Rosa Beach","FL","32459","Walton County","12131","countertop supplier;countertop installer;tile installer;flooring installer","https://www.hardrockstoneandtile.com/contact","2026-08-22","business_website","emerald_coast","jw_stone_buyer;bidrock_installer;bidrock_supplier","buyer_candidate","installer_supplier","tier_2"
"official_web:worldstonedesign.com:panama-city-beach","World Stone & Design","Custom stone fabrication in Panama City Beach","Panama City Beach company sourcing stone and providing design, fabrication and installation for custom countertops and related surfaces.","https://worldstonedesign.com/","8502350399","","19709 Panama City Beach Pkwy","Panama City Beach","FL","32413","Bay County","12005","stone fabricator;countertop installer;natural stone supplier;granite countertops;quartzite countertops","https://worldstonedesign.com/contact","2026-08-22","business_website","panama_city","jw_stone_buyer;jw_stone_supply_partner;bidrock_fabricator;bidrock_installer;bidrock_supplier","buyer_and_supply_candidate","fabricator_installer_supplier","tier_1"
