"FileName","LastWriteTime","Action","Class","ProposedDestination"
"DECISION_CARD_CONTACT_INTEGRATION.md","2025-12-30T19:42:54","move","decision","/docs/decisions"
"DIRECT_CONNECT_CHARTER.md","2026-03-08T15:32:44","move","reference","/docs/reference"
"DIRECT_CONNECT_EXECUTION_CONTRACT.md","2026-03-08T15:43:52","move","reference","/docs/reference"
"DIRECT_CONNECT_REQUEST_MODEL.md","2025-12-28T18:02:55","move","reference","/docs/reference"
"DIRECT_CONNECT_STATE_VOCABULARY.md","2025-12-28T17:05:10","move","reference","/docs/reference"
"DIRECT_CONNECT_VISION.md","2025-12-28T18:02:55","review","needs-human-triage","TBD"
"DOCTRINE.md","2026-03-19T22:04:29","move","reference","/docs/reference"
"enhancement_plan.md","2026-02-22T00:17:06","review","needs-human-triage","/docs/canonical or /docs/reference"
"EXCHANGE_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T17:11:31","move","reference","/docs/reference"
"FULL_ROLLOUT_MANIFEST.md","2025-12-30T15:34:39","move","history","/docs/history"
"HOMESCOUT_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T17:19:12","move","reference","/docs/reference"
"IMPLEMENTATION_DEFAULTS.md","2026-01-09T17:30:02","review","needs-human-triage","TBD"
"INSTITUTIONAL_INTELLIGENCE_COMPLETE.md","2025-12-30T12:42:11","move","history","/docs/history"
"LISA EXPLANATION.md","2026-03-12T22:11:44","review","needs-human-triage","/docs/canonical or /docs/reference"
"LISA_BOT_CRAWL_INTEGRATION.md","2026-03-13T19:45:56","review","needs-human-triage","TBD"
"MAPS_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T17:26:42","move","reference","/docs/reference"
"MASTER_FEATURE_INDEX.md","2026-02-22T00:17:06","review","needs-human-triage","TBD"
"MASTER_PLAN.md","2026-02-13T00:50:22","keep-root","canonical-or-approved-root","/"
"MESSAGES_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T17:01:03","move","reference","/docs/reference"
"MESSAGING_AUTHORITY_CONTRACT.md","2025-12-30T19:36:18","move","reference","/docs/reference"
"MESSAGING_AUTHORITY_ENFORCEMENT.md","2025-12-30T19:40:00","review","needs-human-triage","TBD"
"MESSAGING_AUTHORITY_SYSTEM_INDEX.md","2025-12-30T19:47:46","move","reference","/docs/reference"
"MESSAGING_AUTHORITY_TEST_MATRIX.md","2025-12-30T19:47:46","review","needs-human-triage","TBD"
"OUTCOME_DECISION_CHARTER.md","2025-12-28T17:16:37","move","decision","/docs/decisions"
"PATCH_QUEUE.md","2026-03-19T22:25:24","review","needs-human-triage","/docs/canonical or /docs/reference"
"PHASE_1_COMPLETE_AND_LOCKED.md","2026-01-01T12:13:23","move","history","/docs/history"
"PHASE_2_COUNTY_DATA_ROUTER.md","2026-01-01T17:09:33","move","history","/docs/history"
"PHASE_2_IMPLEMENTATION_COMPLETE.md","2026-01-01T17:09:33","move","history","/docs/history"
"PHASE_2C_PRIVILEGED_AUTHORITY_CLOSURE_REPORT.md","2026-03-09T19:10:21","move","history","/docs/history"
"PHASE_3_COMPLETE.md","2026-01-04T18:54:36","move","history","/docs/history"
"PHASE_3E_B_BUILD_KICKOFF.md","2026-01-01T22:50:34","move","history","/docs/history"
"PHASE_4_COMPLETE.md","2026-01-04T19:06:50","move","history","/docs/history"
"PHASE_5_COMPLETE.md","2026-01-05T13:35:38","move","history","/docs/history"
"PILOT_TELEMETRY_WIRING_COMPLETE.md","2026-01-01T14:58:10","move","history","/docs/history"
"PRODUCTION.md","2026-02-24T00:59:57","keep-root","canonical-or-approved-root","/"
"PRODUCTION_CHECKLIST.md","2026-02-25T23:22:11","move","runbook","/docs/runbooks"
"PRODUCTION_SIGNOFF_2026-02-24.md","2026-03-04T21:34:55","move","history","/docs/history"
"PROOF_MODULE_METRICS_DECISION_CARD.md","2026-01-09T17:30:02","move","decision","/docs/decisions"
"QUICK_REFERENCE.md","2025-12-30T19:47:46","keep-root","canonical-or-approved-root","/"
"README.md","2026-03-04T18:12:18","keep-root","canonical-or-approved-root","/"
"README_SEEDING.md","2026-03-04T18:42:26","move","runbook","/docs/runbooks"
"README_START_HERE.md","2026-03-04T18:09:28","keep-root","canonical-or-approved-root","/"
"READY_FOR_DEPLOYMENT.md","2025-12-30T21:35:25","move","history","/docs/history"
"REQUESTER_VOCABULARY.md","2025-12-28T17:53:51","move","reference","/docs/reference"
"SCOUT_AND_NAVS_LOCKED.md","2025-12-25T00:43:11","move","history","/docs/history"
"SCOUT_BEHAVIOR_COVERAGE_AUDIT.md","2026-02-24T23:01:38","move","audit","/docs/audits"
"SCOUT_BEHAVIOR_GAP_BACKLOG.md","2026-02-24T23:20:32","review","needs-human-triage","/docs/canonical or /docs/reference"
"SCOUT_ENHANCEMENT_IMPLEMENTATION.md","2026-02-22T00:17:06","review","needs-human-triage","TBD"
"SCOUT_FULL_SYSTEM_ARCHITECTURE.md","2026-03-08T15:24:45","move","reference","/docs/reference"
"SCOUT_GOVERNOR_COMPLETE.md","2025-12-30T12:37:30","move","history","/docs/history"
"SCOUT_HIERARCHY_LOCKED.md","2025-12-30T12:47:17","move","history","/docs/history"
"SCOUT_INTENT_COVERAGE.md","2026-02-25T18:23:30","review","needs-human-triage","TBD"
"SCOUT_INTERACTION_REQUIREMENTS.md","2026-01-01T23:23:26","review","needs-human-triage","TBD"
"SCOUT_LOGGING_BACKEND_GUIDE.md","2026-01-01T23:23:26","move","runbook","/docs/runbooks"
"SCOUT_PERFORMANCE_NOTES.md","2025-12-27T23:29:32","review","needs-human-triage","TBD"
"SCOUT_PHASE_2_IMPLEMENTATION.md","2026-02-22T00:17:06","move","history","/docs/history"
"SCOUT_QUALITY_REPORT.md","2026-03-03T18:46:05","move","audit","/docs/audits"
"SCOUT_READ_ORCHESTRATION_CHARTER.md","2025-12-28T17:05:10","move","reference","/docs/reference"
"SCOUT_RECOMMENDATION_SCHEMA.md","2025-12-30T19:42:54","move","reference","/docs/reference"
"SCOUT_STREAMING_DECISION.md","2025-12-25T12:06:28","move","decision","/docs/decisions"
"SCOUT_SYSTEM_BLIND_SPOTS.md","2026-02-25T18:26:01","move","reference","/docs/reference"
"SCOUT_TILES_VERIFICATION.md","2025-12-25T17:35:29","review","needs-human-triage","TBD"
"SCOUT_TOOL_LAYER.md","2025-12-27T23:17:36","review","needs-human-triage","TBD"
"SCOUT_VIOLATION_REPORT.md","2025-12-27T23:08:41","move","audit","/docs/audits"
"SCOUT_WELCOME_COPY_DECISION_CARD.md","2026-01-09T17:30:02","move","decision","/docs/decisions"
"SCOUTMODE_STATE_MACHINE_SPEC.md","2026-01-01T21:33:10","move","reference","/docs/reference"
"SECURITY.md","2026-03-04T08:56:08","keep-root","canonical-or-approved-root","/"
"SIDA_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","needs-human-triage","TBD"
"SIGNAL_TAXONOMY.md","2026-03-19T22:25:36","review","needs-human-triage","/docs/canonical or /docs/reference"
"SMOKE_TEST_MY_TRADESCOUT.md","2025-12-31T20:37:32","move","runbook","/docs/runbooks"
"SNAPSHOT_MODEL_DESIGN.md","2026-01-01T03:03:38","review","needs-human-triage","TBD"
"SOCIAL_FEATURES_CHARTER.md","2025-12-30T19:36:18","move","reference","/docs/reference"
"SOD_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","needs-human-triage","TBD"
"STEP2_SCHEMA_SATURATION_COMPLETE.md","2026-01-01T13:15:02","move","history","/docs/history"
"STEP3B_JURISDICTION_AWARE_ROUTING_COMPLETE.md","2026-01-01T14:47:23","move","history","/docs/history"
"SYSTEM_LOCKED.md","2025-12-25T18:28:33","move","history","/docs/history"
"TEAM_COMMUNICATION_PHASE_3E_EXECUTION.md","2026-01-01T23:08:09","move","history","/docs/history"
"TECHNICAL_OVERVIEW.md","2026-03-07T15:24:16","review","needs-human-triage","TBD"
"TELEMETRY_REVIEW_PHASE_3E_A1.md","2026-01-01T22:42:57","move","history","/docs/history"
"TELEMETRY_SQL_QUERY_PACK.md","2026-01-01T22:50:34","review","needs-human-triage","TBD"
"TEST_SKIP_BREAKDOWN.md","2026-02-25T21:55:11","move","audit","/docs/audits"
"THEME_LOCK_COMPLETE.md","2025-12-25T00:43:11","move","history","/docs/history"
"THEME_LOCK_IMPLEMENTATION.md","2025-12-25T00:43:11","review","needs-human-triage","TBD"
"THEME_QUICK_REFERENCE.md","2025-12-25T00:43:11","review","needs-human-triage","TBD"
"THEME_SYSTEM.md","2025-12-24T22:36:13","move","reference","/docs/reference"
"TRADESCOUT_FOR_ADMINS.md","2025-12-30T15:32:28","review","needs-human-triage","TBD"
"TRADESCOUT_FOR_DUMMIES_2.0.md","2025-12-30T15:32:28","review","needs-human-triage","TBD"
"TRADESCOUT_FOUNDER_INPUT.md","2026-03-18T19:34:36","review","needs-human-triage","TBD"
"TRADESCOUT_OS_ARCHITECTURE.md","2026-03-09T01:39:03","move","reference","/docs/reference"
"TRADESCOUT_OS_ENGINE_REGISTRY.md","2026-03-08T17:30:30","move","reference","/docs/reference"
"UI_SURFACE_VIOLATION_REPORT.md","2025-12-27T23:17:36","move","audit","/docs/audits"
"ui-surface-audit.md","2026-03-04T18:07:16","move","audit","/docs/audits"
"UNIVERSAL_USER_TOUR_SPEC.md","2025-12-28T18:06:21","move","reference","/docs/reference"
"USER_SYSTEM_ENGINE_EXECUTION_CONTRACT.md","2026-03-08T17:36:31","move","reference","/docs/reference"
"USER_THEME_CUSTOMIZATION.md","2025-12-24T22:39:33","review","needs-human-triage","TBD"
"WATCHDOG_INTERNAL_DOCUMENTATION.md","2026-02-22T00:54:54","review","needs-human-triage","TBD"
